IDADE,CAR_STR_ID_CATEGORIA,CAR_STR_ID_TIPO,CAR_DAT_DT_EMISSAO,CAR_DAT_DT_VALIDADE,RENOVACAO
35,B,C,21/01/2022,13/01/2032,1
62,B,C,27/01/2022,04/01/2027,1
31,B,C,27/01/2022,06/01/2032,1
46,B,C,26/01/2022,11/01/2027,1
60,B,C,26/01/2022,05/01/2027,1
73,B,C,19/01/2022,12/01/2025,1
70,B,C,26/01/2022,06/01/2027,1
28,B,C,19/01/2022,11/01/2032,1
58,B,C,19/01/2022,12/01/2027,1
48,B,C,19/01/2022,12/01/2032,1
27,B,C,26/01/2022,04/01/2032,1
31,B,C,19/01/2022,12/01/2032,1
28,B,C,19/01/2022,11/01/2032,1
43,B,C,26/01/2022,31/12/2031,1
34,B,C,26/01/2022,08/01/2032,1
39,B,C,21/01/2022,13/01/2032,1
38,B,C,27/01/2022,08/01/2032,1
49,B,C,19/01/2022,11/01/2032,1
-22,B,C,19/01/2022,11/01/2025,1
27,B,C,26/01/2022,08/01/2032,1
34,B,C,19/01/2022,16/10/2025,1
48,B,C,19/01/2022,11/01/2027,1
39,B,C,26/01/2022,08/01/2032,1
41,B,C,21/01/2022,11/01/2032,1
57,B,C,21/01/2022,17/01/2027,1
42,B,C,27/01/2022,06/01/2032,1
39,B,C,26/01/2022,07/01/2032,1
51,B,C,19/01/2022,11/01/2032,1
41,B,C,19/01/2022,11/01/2032,1
54,B,C,19/01/2022,11/01/2027,1
-24,B,C,26/01/2022,11/01/2025,1
58,B,C,21/01/2022,17/01/2027,1
46,B,C,21/01/2022,11/01/2032,1
29,B,C,21/01/2022,03/08/2031,1
23,B,C,28/01/2022,23/07/2025,1
26,B,C,28/01/2022,04/02/2025,1
24,AB,C,28/01/2022,01/06/2025,1
24,B,C,25/01/2022,05/09/2024,1
30,B,C,26/01/2022,30/03/2024,1
43,AB,C,26/01/2022,12/01/2032,1
44,AB,C,21/01/2022,13/01/2032,1
39,AB,C,18/01/2022,31/12/2031,1
44,AB,C,21/01/2022,14/01/2032,1
74,A,C,18/01/2022,05/01/2025,1
47,AB,C,18/01/2022,05/01/2032,1
45,AB,C,18/01/2022,03/01/2032,1
32,AB,C,17/01/2022,28/12/2031,1
42,B,C,18/01/2022,28/12/2031,1
30,AB,C,18/01/2022,07/01/2032,1
52,B,C,18/01/2022,07/01/2032,1
36,B,C,17/01/2022,29/12/2031,1
34,B,C,17/01/2022,27/12/2031,1
43,AB,C,17/01/2022,30/12/2031,1
48,AB,C,18/01/2022,05/01/2032,1
41,AB,C,17/01/2022,30/12/2031,1
50,AB,C,26/01/2022,05/01/2032,1
47,AB,C,18/01/2022,04/01/2032,1
58,AB,C,21/01/2022,18/01/2027,1
31,B,C,18/01/2022,05/01/2032,1
32,AB,C,18/01/2022,28/12/2031,1
34,AB,C,18/01/2022,30/12/2031,1
47,AE,C,18/01/2022,04/01/2032,1
40,AB,C,17/01/2022,28/12/2031,1
34,AB,C,18/01/2022,29/12/2031,1
41,AB,C,21/01/2022,12/01/2032,1
37,B,C,17/01/2022,01/03/2024,1
38,AB,C,18/01/2022,08/01/2032,1
34,AB,C,17/01/2022,30/12/2031,1
35,B,C,18/01/2022,27/12/2031,1
36,AB,C,18/01/2022,04/01/2032,1
50,AB,C,17/01/2022,28/12/2031,1
45,AB,C,26/01/2022,11/01/2032,1
44,AB,C,18/01/2022,05/01/2032,1
44,AB,C,18/01/2022,08/01/2032,1
47,AD,C,18/01/2022,29/12/2031,1
38,AB,C,17/01/2022,30/12/2031,1
40,B,C,17/01/2022,30/12/2031,1
56,AB,C,18/01/2022,28/02/2025,1
40,AB,C,17/01/2022,29/12/2031,1
62,B,C,18/01/2022,29/12/2026,1
43,AD,C,21/01/2022,14/01/2032,1
53,B,C,25/01/2022,29/12/2026,1
41,AB,C,17/01/2022,03/01/2032,1
40,AB,C,17/01/2022,27/12/2031,1
46,AD,C,18/01/2022,04/01/2032,1
36,AB,C,17/01/2022,21/12/2031,1
47,AB,C,18/01/2022,05/01/2032,1
31,AB,C,17/01/2022,29/12/2031,1
38,AB,C,17/01/2022,29/12/2031,1
28,B,C,18/01/2022,05/01/2032,1
31,AB,C,17/01/2022,27/12/2031,1
64,AD,C,18/01/2022,05/01/2027,1
59,AB,C,18/01/2022,05/01/2027,1
33,AB,C,17/01/2022,28/12/2031,1
47,AD,C,17/01/2022,30/12/2031,1
43,AB,C,17/01/2022,29/12/2031,1
28,AB,C,17/01/2022,16/12/2031,1
37,AB,C,18/01/2022,04/01/2032,1
43,AB,C,18/01/2022,07/01/2032,1
28,AB,C,17/01/2022,28/12/2031,1
53,AB,C,21/01/2022,14/01/2027,1
45,B,C,18/01/2022,24/04/2023,1
50,AD,C,21/01/2022,15/01/2032,1
48,AD,C,18/01/2022,07/01/2032,1
53,AB,C,17/01/2022,03/01/2027,1
47,AB,C,17/01/2022,29/12/2031,1
38,B,C,21/01/2022,18/01/2032,1
28,AB,C,18/01/2022,05/01/2032,1
45,AB,C,17/01/2022,27/12/2031,1
39,AB,C,17/01/2022,31/12/2031,1
42,AB,C,17/01/2022,27/12/2031,1
34,B,C,18/01/2022,27/12/2031,1
38,AB,C,18/01/2022,05/01/2032,1
57,AB,C,17/01/2022,23/12/2026,1
42,AB,C,17/01/2022,28/12/2031,1
28,AB,C,26/01/2022,21/02/2025,1
33,AB,C,20/01/2022,29/12/2031,1
44,AB,C,18/01/2022,05/01/2032,1
38,AB,C,21/01/2022,11/01/2032,1
64,AD,C,18/01/2022,06/01/2027,1
60,AB,C,17/01/2022,30/12/2026,1
32,AB,C,17/01/2022,21/12/2031,1
41,AB,C,17/01/2022,28/12/2031,1
46,AD,C,18/01/2022,05/01/2032,1
54,AD,C,18/01/2022,05/01/2027,1
45,AD,C,18/01/2022,07/01/2032,1
45,AB,C,18/01/2022,05/01/2032,1
58,B,C,17/01/2022,03/01/2027,1
54,B,C,20/01/2022,21/05/2026,1
28,AB,C,17/01/2022,23/12/2031,1
27,AB,C,17/01/2022,27/12/2031,1
40,AB,C,17/01/2022,28/12/2031,1
30,AB,C,17/01/2022,31/12/2031,1
41,AB,C,17/01/2022,28/12/2031,1
38,AB,C,18/01/2022,06/01/2032,1
33,AB,C,18/01/2022,07/01/2032,1
37,B,C,21/01/2022,17/01/2032,1
56,B,C,26/01/2022,07/01/2027,1
67,B,C,26/01/2022,06/01/2027,1
41,B,C,21/01/2022,15/01/2032,1
40,B,C,26/01/2022,07/01/2032,1
38,B,C,26/01/2022,07/01/2032,1
27,B,C,26/01/2022,08/01/2032,1
44,B,C,26/01/2022,06/01/2032,1
40,B,C,21/01/2022,11/01/2032,1
50,B,C,26/01/2022,31/12/2031,1
71,B,C,27/01/2022,07/01/2027,1
36,B,C,26/01/2022,05/01/2032,1
31,B,C,26/01/2022,30/12/2031,1
53,B,C,26/01/2022,04/01/2027,1
38,B,C,21/01/2022,14/01/2032,1
51,B,C,21/01/2022,14/01/2032,1
-24,B,C,27/01/2022,04/01/2025,1
41,B,C,26/01/2022,12/01/2032,1
27,B,C,21/01/2022,05/01/2032,1
34,B,C,21/01/2022,13/01/2032,1
37,B,C,26/01/2022,08/01/2032,1
26,B,C,21/01/2022,14/01/2032,1
32,B,C,19/01/2022,06/01/2032,1
49,B,C,21/01/2022,14/01/2032,1
58,B,C,26/01/2022,11/01/2027,1
54,B,C,21/01/2022,17/01/2027,1
59,B,C,27/01/2022,04/10/2026,1
-25,B,C,26/01/2022,04/01/2025,1
56,B,C,26/01/2022,29/12/2026,1
63,B,C,21/01/2022,17/01/2027,1
40,B,C,26/01/2022,05/01/2032,1
50,B,C,21/01/2022,13/01/2032,1
31,B,C,21/01/2022,14/01/2032,1
43,B,C,21/01/2022,14/01/2032,1
73,B,C,26/01/2022,06/01/2025,1
-16,B,C,21/01/2022,13/01/2025,1
57,B,C,26/01/2022,04/01/2027,1
49,B,C,27/01/2022,07/01/2032,1
35,B,C,21/01/2022,13/01/2032,1
53,B,C,21/01/2022,14/01/2027,1
48,B,C,27/01/2022,07/01/2032,1
46,B,C,26/01/2022,06/01/2032,1
47,B,C,26/01/2022,12/01/2032,1
49,B,C,26/01/2022,06/01/2032,1
-22,B,C,21/01/2022,13/01/2025,1
37,B,C,26/01/2022,05/01/2032,1
29,B,C,21/01/2022,15/01/2032,1
63,B,C,27/01/2022,05/01/2027,1
49,B,C,26/01/2022,14/01/2032,1
33,B,C,26/01/2022,08/01/2032,1
72,B,C,27/01/2022,06/01/2027,1
26,B,C,26/01/2022,05/01/2032,1
40,B,C,28/01/2022,13/01/2032,1
39,B,C,26/01/2022,05/01/2032,1
38,B,C,06/01/2022,21/12/2031,1
49,B,C,26/01/2022,04/01/2032,1
47,B,P,25/01/2022,25/01/2023,1
45,AD,C,25/01/2022,09/11/2031,1
60,B,C,25/01/2022,18/01/2027,1
52,B,C,17/01/2022,03/01/2032,1
-23,B,C,25/01/2022,05/01/2025,1
55,B,C,25/01/2022,30/12/2026,1
59,AB,C,26/01/2022,12/01/2027,1
-25,B,C,26/01/2022,06/01/2025,1
49,B,C,18/12/2021,07/12/2031,1
50,B,C,31/01/2022,07/12/2031,1
45,B,C,18/12/2021,04/12/2031,1
59,B,C,18/12/2021,03/12/2026,1
65,B,C,18/12/2021,02/12/2026,1
30,B,C,18/12/2021,07/12/2031,1
47,B,C,18/12/2021,12/11/2031,1
43,B,C,18/12/2021,06/12/2031,1
37,B,C,18/12/2021,29/11/2031,1
42,AB,C,17/12/2021,15/12/2031,1
27,B,C,18/12/2021,08/12/2031,1
43,B,C,18/12/2021,22/11/2031,1
66,B,C,17/12/2021,09/12/2026,1
29,AB,C,21/01/2022,18/01/2032,1
36,B,C,17/12/2021,07/12/2031,1
62,B,C,17/12/2021,06/12/2026,1
40,B,C,17/12/2021,02/12/2031,1
32,B,C,18/12/2021,02/12/2031,1
26,B,C,17/12/2021,06/12/2031,1
42,B,C,18/12/2021,01/12/2031,1
32,AB,C,17/12/2021,10/12/2031,1
27,B,C,17/12/2021,13/12/2031,1
53,B,C,18/12/2021,01/12/2026,1
48,AB,C,17/12/2021,10/12/2031,1
31,AB,C,17/12/2021,14/12/2031,1
30,B,C,17/12/2021,07/12/2031,1
24,B,P,24/01/2022,24/01/2023,1
38,AB,C,26/01/2022,15/12/2031,1
59,B,C,18/12/2021,03/12/2026,1
57,B,C,18/12/2021,07/12/2026,1
60,AB,C,17/12/2021,14/12/2026,1
37,B,C,18/12/2021,02/12/2031,1
58,B,C,18/12/2021,03/12/2026,1
36,B,C,18/12/2021,06/12/2031,1
42,B,C,18/12/2021,07/12/2031,1
28,B,C,18/12/2021,01/12/2031,1
60,B,C,18/12/2021,02/12/2026,1
27,AB,C,31/01/2022,10/12/2031,1
60,AD,C,17/12/2021,10/12/2026,1
32,B,C,26/01/2022,04/01/2032,1
47,B,C,18/12/2021,01/12/2031,1
59,B,C,31/01/2022,07/12/2026,1
61,B,C,18/12/2021,07/12/2026,1
68,AB,C,17/12/2021,10/12/2026,1
68,B,C,31/01/2022,02/12/2026,1
-24,B,C,18/12/2021,06/12/2024,1
30,B,C,18/12/2021,03/12/2031,1
39,B,C,18/12/2021,04/12/2031,1
30,B,C,18/12/2021,02/12/2031,1
50,B,C,18/12/2021,07/12/2031,1
54,B,C,18/12/2021,06/12/2026,1
66,AB,C,17/12/2021,09/12/2026,1
54,B,C,27/01/2022,20/01/2027,1
32,B,C,18/12/2021,06/12/2031,1
46,AB,C,17/12/2021,10/12/2031,1
44,AD,C,17/12/2021,13/12/2031,1
44,B,C,18/12/2021,06/12/2031,1
62,B,C,18/12/2021,06/12/2026,1
66,B,C,18/12/2021,02/12/2026,1
-21,B,C,18/12/2021,01/12/2024,1
-19,B,C,31/01/2022,06/12/2024,1
40,B,C,18/12/2021,01/12/2031,1
49,B,C,18/12/2021,07/12/2031,1
54,B,C,31/01/2022,07/12/2026,1
37,B,C,18/12/2021,03/12/2031,1
21,B,P,27/01/2022,27/01/2023,1
23,B,P,27/01/2022,27/01/2023,1
51,AB,C,17/12/2021,26/11/2031,1
73,B,C,17/12/2021,07/12/2024,1
63,B,C,17/12/2021,03/12/2026,1
-20,B,C,18/12/2021,02/12/2024,1
-18,B,C,17/12/2021,04/12/2024,1
46,B,C,18/12/2021,03/12/2031,1
38,B,C,18/12/2021,02/12/2031,1
50,AB,C,17/12/2021,10/12/2031,1
41,AB,C,17/12/2021,10/12/2031,1
31,B,C,18/12/2021,02/12/2031,1
29,B,C,18/12/2021,23/11/2031,1
37,B,C,27/01/2022,04/01/2032,1
39,B,C,18/12/2021,02/12/2031,1
49,B,C,17/12/2021,14/12/2031,1
41,B,C,18/12/2021,07/12/2031,1
54,B,C,18/12/2021,01/12/2026,1
33,B,C,17/12/2021,06/12/2031,1
60,AB,C,17/12/2021,14/12/2026,1
63,B,C,31/01/2022,03/12/2026,1
52,B,C,18/12/2021,07/12/2031,1
50,B,C,17/12/2021,03/12/2031,1
61,B,C,18/12/2021,29/11/2026,1
47,B,C,18/12/2021,02/12/2031,1
32,B,C,18/12/2021,01/12/2031,1
47,B,P,27/01/2022,27/01/2023,1
46,B,P,27/01/2022,27/01/2023,1
26,AB,P,27/01/2022,27/01/2023,1
24,B,P,27/01/2022,27/01/2023,1
25,B,P,27/01/2022,27/01/2023,1
46,AD,C,27/01/2022,11/11/2031,1
25,B,P,27/01/2022,27/01/2023,1
22,AB,P,27/01/2022,27/01/2023,1
27,AB,P,27/01/2022,27/01/2023,1
41,AB,C,27/01/2022,19/01/2032,1
43,B,P,27/01/2022,27/01/2023,1
22,AB,P,27/01/2022,27/01/2023,1
38,B,P,27/01/2022,27/01/2023,1
23,A,P,27/01/2022,27/01/2023,1
23,B,P,27/01/2022,27/01/2023,1
22,B,P,27/01/2022,27/01/2023,1
22,B,P,27/01/2022,27/01/2023,1
22,B,P,27/01/2022,27/01/2023,1
25,B,P,27/01/2022,27/01/2023,1
22,B,P,27/01/2022,27/01/2023,1
25,AB,P,27/01/2022,27/01/2023,1
21,AB,P,27/01/2022,27/01/2023,1
22,B,P,27/01/2022,27/01/2023,1
23,B,P,27/01/2022,27/01/2023,1
25,B,P,27/01/2022,27/01/2023,1
23,B,P,27/01/2022,27/01/2023,1
35,B,P,27/01/2022,27/01/2023,1
26,AB,P,27/01/2022,27/01/2023,1
48,B,P,27/01/2022,27/01/2023,1
25,B,P,27/01/2022,27/01/2023,1
31,B,P,27/01/2022,27/01/2023,1
28,B,P,27/01/2022,27/01/2023,1
26,AB,P,27/01/2022,27/01/2023,1
38,AB,P,27/01/2022,27/01/2023,1
22,B,P,27/01/2022,27/01/2023,1
23,B,P,27/01/2022,27/01/2023,1
22,AB,P,27/01/2022,27/01/2023,1
42,B,P,27/01/2022,27/01/2023,1
40,B,P,27/01/2022,27/01/2023,1
22,AB,P,27/01/2022,27/01/2023,1
23,B,P,27/01/2022,27/01/2023,1
38,B,P,27/01/2022,27/01/2023,1
24,B,P,27/01/2022,27/01/2023,1
24,B,P,27/01/2022,27/01/2023,1
23,B,P,27/01/2022,27/01/2023,1
45,AB,C,25/01/2022,07/01/2032,1
59,AD,C,25/01/2022,17/01/2027,1
59,B,C,24/12/2021,10/12/2026,1
22,AB,P,21/01/2022,21/01/2023,1
23,AB,P,27/01/2022,27/01/2023,1
24,B,P,27/01/2022,27/01/2023,1
23,B,P,27/01/2022,27/01/2023,1
58,B,C,26/01/2022,05/01/2027,1
33,B,C,26/01/2022,07/01/2032,1
26,B,C,26/01/2022,07/01/2032,1
36,B,C,06/01/2022,17/12/2031,1
43,B,C,26/01/2022,06/01/2032,1
60,B,C,26/01/2022,04/01/2027,1
46,B,C,24/12/2021,09/12/2031,1
45,B,C,24/12/2021,10/12/2031,1
55,B,C,24/12/2021,14/12/2026,1
37,B,C,21/01/2022,13/01/2032,1
56,B,C,19/01/2022,11/01/2027,1
50,B,C,26/01/2022,07/01/2032,1
53,B,C,21/01/2022,17/01/2027,1
36,B,C,25/01/2022,11/01/2032,1
46,B,C,26/01/2022,11/01/2032,1
58,B,C,25/01/2022,11/01/2027,1
26,B,C,26/01/2022,14/01/2032,1
57,B,C,26/01/2022,07/01/2027,1
-25,B,C,27/01/2022,14/01/2025,1
38,B,C,28/01/2022,06/01/2032,1
43,B,C,25/01/2022,06/01/2032,1
-19,B,C,31/01/2022,08/12/2024,1
44,B,C,18/12/2021,09/12/2031,1
55,B,C,31/01/2022,03/12/2026,1
-19,B,C,18/12/2021,10/12/2024,1
30,B,C,18/12/2021,03/12/2031,1
28,B,C,18/12/2021,07/12/2031,1
-21,B,C,18/12/2021,07/12/2024,1
42,B,C,18/12/2021,01/12/2031,1
49,B,C,18/12/2021,07/12/2031,1
43,B,C,18/12/2021,03/12/2031,1
51,B,C,18/12/2021,07/12/2031,1
52,AB,C,17/12/2021,13/12/2031,1
46,B,C,18/12/2021,03/12/2031,1
65,B,C,18/12/2021,08/12/2026,1
35,AB,C,17/12/2021,10/12/2031,1
59,AB,C,17/12/2021,14/12/2026,1
46,B,C,18/12/2021,02/12/2031,1
64,B,C,18/12/2021,06/12/2026,1
31,B,C,18/12/2021,07/12/2031,1
45,B,C,18/12/2021,02/12/2031,1
21,B,P,20/01/2022,20/01/2023,1
25,AB,P,26/01/2022,26/01/2023,1
21,B,P,20/01/2022,20/01/2023,1
44,AD,C,26/01/2022,22/11/2031,1
41,AB,P,26/01/2022,26/01/2023,1
30,B,P,25/01/2022,25/01/2023,1
24,AB,P,25/01/2022,25/01/2023,1
38,AB,P,25/01/2022,25/01/2023,1
34,AB,P,25/01/2022,25/01/2023,1
21,B,P,25/01/2022,25/01/2023,1
31,AB,P,26/01/2022,26/01/2023,1
21,B,P,25/01/2022,25/01/2023,1
40,AD,C,26/01/2022,16/07/2031,1
25,B,P,20/01/2022,20/01/2023,1
22,B,P,20/01/2022,20/01/2023,1
26,B,P,26/01/2022,26/01/2023,1
21,B,P,26/01/2022,26/01/2023,1
25,B,P,25/01/2022,25/01/2023,1
25,AB,P,26/01/2022,26/01/2023,1
21,B,P,26/01/2022,26/01/2023,1
21,AB,P,26/01/2022,26/01/2023,1
29,AB,P,25/01/2022,25/01/2023,1
21,B,P,20/01/2022,20/01/2023,1
22,B,P,26/01/2022,26/01/2023,1
28,AB,P,26/01/2022,26/01/2023,1
27,AB,P,26/01/2022,26/01/2023,1
35,B,P,26/01/2022,26/01/2023,1
23,B,P,26/01/2022,26/01/2023,1
39,AB,P,26/01/2022,26/01/2023,1
22,AB,P,26/01/2022,26/01/2023,1
26,AD,C,26/01/2022,31/08/2031,1
52,AB,C,25/01/2022,20/11/2031,1
21,B,P,25/01/2022,25/01/2023,1
33,AB,C,26/01/2022,20/09/2031,1
29,AB,C,25/01/2022,13/12/2031,1
37,B,P,25/01/2022,25/01/2023,1
51,B,P,25/01/2022,25/01/2023,1
21,B,P,26/01/2022,26/01/2023,1
21,B,P,25/01/2022,25/01/2023,1
50,AD,C,26/01/2022,17/12/2031,1
21,B,P,26/01/2022,26/01/2023,1
